id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
203,Mastoid process size,Temporal,CR,D,UM,PHY,,UBERON:0001678,The size of mastoid process.,2,Small (0); Large (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The size of mastoid process. (Unordered). States: Small (0); Large (1),,
204,Mastoid process orientation,Temporal,CR,D,UM,PHY,,UBERON:0001678,The orientation of the mastoid process in coronal plane.,2,Not medial (0); Medial (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the mastoid process in the coronal plane. (Unordered). States: Not medial (0); Medial (1),,
205,Mastoid tip position,Temporal,CR,D,UM,PHY,,UBERON:0001678,"The position of the tip of the mastoid process relative to porion measured as the mastoid tip position index, which is a percentage of the horizontal distance between the tip of mastoid to porion and asterion and porion. The cut-off for a ""posterior"" position seems to be aorund 40% index.",2,Anterior (0); Posterior (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The position of the tip of the mastoid process relative to porion measured as the mastoid tip position index, which is a percentage of the horizontal distance between the tip of mastoid to porion and asterion and porion. The cut-off for a ""posterior"" position seems to be around 40% index. (Unordered). States: Anterior (0); Posterior (1)",,
206,Mastoid face,Temporal,CR,D,UM,PHY,,UBERON:0001678,"The contact between mastoid process and the peripheral bony structures. A deep and posteriorly extended digastric groove ""cleaves"" the posterior face fo the mastoid process, confining it to the lateral part of the temporal bone's basal aspect. With a very weak posterior indentation by the digastric fossa, the mastoid process is firmly connected to the pars mastoidea with a continuous posterolateral face. A posterior extension of the digastric fossal all the way to the rear margin of the temporal bone completely isolates the mastoid process.",2,Single posterolateral (0); D posterior and lateral (1); Single lateral (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The contact between mastoid process and the peripheral bony structures. A deep and posteriorly extended digastric groove ""cleaves"" the posterior face for the mastoid process, confining it to the lateral part of the temporal bone's basal aspect. With a very weak posterior indentation by the digastric fossa, the mastoid process is firmly connected to the pars mastoidea with a continuous posterolateral face. A posterior extension of the digastric fossa all the way to the rear margin of the temporal bone completely isolates the mastoid process. (Unordered). States: Single posterolateral (0); Discrete posterior and lateral (1); Single lateral (2)",,
207,Supramastoid crest development,Temporal,CR,D,UM,PHY,,UBERON:0001678,The development of supramastoid crest at porion.,3,Weak (0); Marked (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of supramastoid crest at porion. (Unordered). States: Weak (0); Marked (1),,
208,Supramastoid crest and zygomatic process contact,Temporal,CF,D,UM,PHY,,UBERON:0001678,The continuity of supramastoid crest with the zygomatic process.,2,Not continuous (0); Continuous (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The continuity of supramastoid crest with the zygomatic process. (Unordered). States: Not continuous (0); Continuous (1),,
209,Supramastoid crest and lower temporal line continuity,Temporal,CR,D,UM,PHY,,UBERON:0001678,The continuity of supramastoid crest with the lower temporal line.,2,Not continuous (0); Continuous (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The continuity of supramastoid crest with the lower temporal line. (Unordered). States: Not continuous (0); Continuous (1),,
210,Supramastoid sulcus closes anteriorly,Temporal,CR,D,UM,PHY,,UBERON:0001678,The continuity of supramastoid crest and mastoid crest.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The continuity of supramastoid crest and mastoid crest. (Unordered). States: Absent (0); Present (1),,
211,Supramastoid sulcus width,Temporal,CR,C,OM,PHY,,UBERON:0001678,The width between mastoid crest and supramastoid crest.,2,Absent (0); Narrow (1); Wide (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The width between mastoid crest and supramastoid crest. (Ordered). States: Absent (0); Narrow (1); Wide (2),,
212,Tubercle above the supramastoid process,Temporal,CR,D,UM,PHY,,UBERON:0001678,The presence of a tubercle anterior to supramastoid crest.,3,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a tubercle anterior to supramastoid crest. (Unordered). States: Absent (0); Present (1),,
