id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,notes,Collard and Wood (2000),Dembo et al. (2015),Strait et al. (1997),Strait and Grine (2004)
41,Depth of subarcuate fossa,Temporal,CR,D,OM,PHY,,UBERON:0001678,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
42,Orientation and length of the post-incisive planum,Mandible,CR,D,UM,PHY,,UBERON:0001684,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
43,Distinctiveness of angular process of mandible,Mandible,CR,D,UM,PHY,,UBERON:0001684,The development of the angular process.,,Distinct with posterior projection (0); Not distinct (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
44,Axis of ear bones,Temporal,CR,D,UM,PHY,,UBERON:0001678,The angle of the axis of ear bones.,2,Right angle or more (0); Acute angle (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
45,Area of inner ear,Temporal,CR,C,UM,PHY,,UBERON:0001678,The area of inner ear. (Low<50mm sq; Higher>50 mm sq),2,Low (0); Higher (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
46,Presence/absence of frontal sinus,Frontal,CR,D,UM,PHY,,UBERON:0000209,,2,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
47,Position of infraorbital foramen relative to orbit,Orbit,CR,D,UM,PHY,,UBERON:0001697,The position of the infraorbital foramen relative to the zygomaxillary suture.,,Foramen beneath middle third of orbital breadth (0); Foramen beneath medial third of orbital breadth (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
48,Glabellar prominence relative to sella,,CR,D,,PHY,,UBERON:0001683,,2,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
49,Supraorbital expression,Orbit,CR,D,UM,TAX,D,UBERON:0001697,Prominence of brow ridge,,Absent (0); Present (1) ,Dart 1925,,,,
50,Supraorbital contour,Orbit,CF,D,UM,PHY,,UBERON:0001697,The contour of the supraorbital region.,2,Less arched (0); Arched (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
51,Position of zygomatic foramina,Zygomatic,CF,D,UM,PHY,,UBERON:0001683,The position of the zytomatic foramina relative to the plane of the orbital rim.,2,At or below plane of orbital rim (0); Above plane of orbital rim (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
52,Patency of premaxillary suture in adults from frontal view,Maxilla,CF,D,UM,PHY,,UBERON:0002397,The presence of premaxillary suture in adults.,2,Patent (0); Obliterated (1); Trace (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
53,Petrous apex ossified beyond spheno-occipital synchondrosis,Occipital,CR,D,UM,PHY,,UBERON:0001676,The degree of ossification of the petrous apex.,3,Not ossified (0); Ossified with projection (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
54,I2 similar in shape to I1,Incisor,DEN,D,UM,PHY,,UBERON:0001098,,2,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
55,Basal keel of lower canine,Canine,DEN,D,OM,PHY,,UBERON:0018583,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
56,Basal area of paracone of P3,Premolar,DEN,D,,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
57,Molar cingulum,Molar,DEN,D,UM,PHY,,UBERON:0003655,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
58,Metaconid of dp3,Premolar,DEN,D,OM,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
59,Talonid basin of dp3,Premolar,DEN,D,UM,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
60,Distal trigonid crest on dp4,Premolar,DEN,D,UM,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
61,"Protocone of dp3, in occlusal view",Premolar,DEN,D,UM,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
62,Crista obliqua of dp4,Premolar,DEN,D,UM,PHY,,UBERON:0007120,,,,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
63,Condylar canal,Occipital,CR,D,UM,PHY,,UBERON:0001676,The presence of condylar canal on the skull base.,,Absent or infrequent (0); Frequently present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
64,Mandibular corpus depth along tooth row,Mandible,DEN,D,OM,PHY,,UBERON:0001684,The height of mandibular corpus along tooth row.,2,Shallow mesially (0); Constant (1); Deepens mesially (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
65,Ethmo-sphenoid contact,Basicranium,CR,D,OM,PHY,,UBERON:0002517,The frequency of contact between ethmoid and sphenoid bones.,3,Usually absent (0); Variable (1); Usually present (2); Present (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
66,I1 lingual crenulations,Incisor,DEN,D,UM,PHY,,UBERON:0001098,"The extent of enamel
crenulations on the lingual
surface of maxillary I1.",4,"Absent (0);
Marginal (1);
Whole surface
(2)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
67,Canine sexual dimorphism,Canine,DEN,D,UM,PHY,,UBERON:0018583,Sexual dimorphism in canine size.,3,Hyper dimorphic (0); Strongly dimorphic (1); Moderately dimorphic (2); Monomorphic; small canines (3); Monomorphic; large canines (4),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
68,Sulcus obliqus,Dentition,DEN,D,UM,PHY,,UBERON:0003672,"The development of oblique
sulcus.",4,"Weak to
moderate (0);
Strong (1)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,,,
69,Cranial vault thickness,Vault,CR,D,OM,PHY,,UBERON:0004339,The thickness of the cranial vault measured at parietal eminence.,3,Thin (0); Intermediate (1); Thick (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The thickness of the cranial vault measured at parietal eminence. (Ordered). States: Thin (0); Intermediate (1); Thick (2),,
70,Calvarial height to breadth,Vault,CR,C,OM,PHY,,UBERON:0004339,"The ratio of the calvarial height on the coronal plane of porion to the minimum breadth of cranial base, or the distance between the porial saddles.",3,Low (0); Very low (1); High (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The ratio of the calvarial height on the coronal plane of porion to the minimum breadth of cranial base, or the distance between the porial saddles. (Ordered). States: Low (0); Very low (1); High (2)",,
71,Cranial vault index,Vault,CR,C,UM,BOTH ,D,UBERON:0004339,The index calculated as the cranial height divided by cranial length. (Low and Long<0.62. Short and high>0.62).,3,Long low cranium (0); Short high cranium (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Berger 2010",,The index calculated as the cranial height divided by cranial length. (Low and Long<0.62. Short and high>0.62). (Unordered) States: Long low cranium (0); Short high cranium (1),,
72,Height of calvaria relative to orbits,Vault,CR,D,OM,PHY,,UBERON:0004339,The portion of the calvarial height above the orbit expressed as a percentage of the total calvarial height.,2,Low (0); Moderate (1); High (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The portion of the calvarial height above the orbit expressed as a percentage of the total calvarial height. (Ordered). States: Low (0); Moderate (1); High (2),,
73,Maximum cranial breadth,Vault,CR,D,OM,PHY,,UBERON:0004339,The location where maximum cranial breadth is measured.,3,Close to cranial base (0); Cranial base biparietal similar (1); At biparietal (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The location where maximum cranial breadth is measured. (Ordered). State: Close to cranial base (0); Cranial base biparietal similar (1); At biparietal (2),,
74,Cranial contour in norma occipitalis,Vault,CR,D,UM,PHY,,UBERON:0004339,The cranial contour in norma occipitalis.,3,Low and broad (0); en bombe (1); en maison (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The cranial contour in norma occipitalis. (Unordered). States: Low and broad (0); en bombe (1); en maison (2),,
75,Anterior calvarial contour in profile,Vault,CR,D,UM,PHY,,UBERON:0004339,Anterior calvarial contour in profile,3,Deviates from circle (0); Aligned with circle (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The contour of the anterior calvarium. (Unordered). States: Deviates from circle (0); Aligned with circle (1),,
76,Posterior calvarial contour,Vault,CR,D,UM,PHY,,UBERON:0004339,The curvature of the posterior portion of the cranial vault along the midsagittal cross-section.,2,Aligned with circle (0); Deviates from circle (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The curvature of the posterior portion of the cranial vault along the midsagittal cross-section. (Unordered). States: Aligned with circle (0); Deviates from cricle (1),,
77,Parietal wall verticality,Parietal,CR,D,UM,PHY,,UBERON:0000210,The superior convergence of lateral parietal walls in posterior view.,2,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The superior convergence of lateral parietal walls in posterior view. (Unordered). State: Present (0); Absent (1),,
78,Sagittal crest,Parietal,CR,D,UM,BOTH ,D,UBERON:0000210,The presence of a sagittal crest.,2,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a sagittal crest. (Unordered). States: Present (0); Absent (1),,
79,Sagittal keel,Parietal,CR,D,UM,BOTH ,D,UBERON:0000210,The presence of a sagittal keel.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a sagittal keel. (Unordered). States: Absent (0); Present (1),,
80,Upper facial breadth,Face,CF,D,OM,PHY,,UBERON:0001456,The index of bi-frontomalare temporale divided by orbital height.,2,Narrow (0); Intermediate (1); Broad (2); Extremely broad (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of bi-frontomalare temporale divided by orbital height. (Ordered). States: Narrow (0); Intermediate (1); Broad (2); Extremely broad (3),,
81,Outline of superior facial mask,Face,CF,D,UM,PHY,,UBERON:0001456,The bi-maxillary tubercle width relative to bi-frontomalare-temporale width.,4,Tapered (0); Squared (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The bi-maxillary tubercle width relative to bi-frontomalare-temporale width. (Unordered). States: Tapered (0); Squared (1),,
82,Lateral anterior facial contour,Face,CF,D,UM,PHY,,UBERON:0001456,The facial contour in lateral view.,2,Bipartite (0); Straight (1) ,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The facial contour in lateral view. (Unordered). States: Bipartite (0); Straight (1),,
83,Facial prognathism,Face,CF,C,OM,BOTH ,D,UBERON:0001456,"The proportion of the palate anterior to sellion. (Index > 57= prognathic, 30<Index<57 = mesognathic, Index <30 = orthognathic).",2,Prognathic (0); Mesognathic (1); Orthognathic (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The proportion of the proportion of the palate anterior to sellion. (Index > 57=prognathic, 30<Index<57=orthognathic). (Ordered). States: Prognathic (0); Mesognathic (1); Orthognathic (2)",,
84,Bregmatic protuberance,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a brebmatic protuberance.,3,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a brebmatic protuberance. (Unordered). States: Absent (0); Present (1),,
85,Precoronal depression,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a precoronal depression.,2,Absent (0); Precoronal plane present (1); Precoronal depression present (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a precoronal depression. (Unordered). States: Absent (0); Precoronal plane present (1); Precoronal depression present (2),,
86,Coronal reinforcement,Frontal,CR,D,UM,PHY,,UBERON:0000209,The thickness of the frontal at and along the coronal suture.,3,Absent (0); Present at upper part of squama (1); Present and continues laterally (2) ,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The thickness of the frontal at and along the coronal suture. (Unordered). States: Absent (0); Present at upper part of squama (1); Present and continues laterally (2),,
87,Frontal contour in norma verticalis,Frontal,CR,D,UM,PHY,,UBERON:0000209,The contour of the frontal bone in superior view.,3,Linear (0); Convex (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The contour of the frontal bone in superior view. (Unordered). States: Linear (0); Convex (1),,
88,Frontal eminence,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a frontal eminence.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a frontal eminence. (Unordered). States: Absent (0); Present (1),,
89,Glabellar depression,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a depression at the glabella.,2,Absent (0); Present (1) ,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a depression at the glabella. (Unordered). States: Absent (0); Present (1),,
90,Glabellar development,Frontal,CR,D,UM,PHY,,UBERON:0000209,The development of the glabella.,2,Weak (0); Prominent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of the glabella. (Unordered). States: Weak (0); Prominent (1),,
91,Glabellar region forms as prominent block,Frontal,CR,D,UM,PHY,,UBERON:0000209,Does the glabellar region form a prominent block.,2,Not a block (0); Block (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,Does the glabellar region form a prominent block. (Unordered). States: Not a block (0); Block (1),,
92,Supraglabellar tubercle,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a supraglabellar tubercle at the junction of postorbital sulcus and the frontal squama.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a supraglabellar tubercle at the junction of postorbital sulcus and the frontal squama. (Unordered). States: Absent (0); Present (1),,
93,Microdepression of glabella,Frontal,CR,D,UM,PHY,,UBERON:0000209,"The presence of a small glabellary depression, associated with large glabellar projection.",2,"Absent (0);
Present (1)","Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The presence of a small glabellary depression, associated with large glabellar projection. (Unordered). States: Absent (0); Present (1)",,
94,Metopic keel,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a metopic keel.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a metopic keel. (Unordered). States: Absent (0); Present (1),,
95,Lateral postorbital depression,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of postorbital depression.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of postorbital depression. (Unordered). States: Absent (0); Present (1),,
96,Frontotemporale tubercle,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a tubercle at the fronto-temporal junction.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a tubercle at the fronto-temporal junction. (Unordered). States: Absent (0); Present (1),,
97,Frontal trigone,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a frontal trigone.,2,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The presence of a frontal trigone. (Unordered). States: Present (0); Absent (1),,
98,Supratrigonal depression,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of very small depressions on the medial edges of the posterior part of temporal lines.,2,Absent (0); Present (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of very small depressions on the medial edges of the posterior part of temporal lines. (Unordered). States: Absent (0); Present (1),,
99,Frontal sinus,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of frontal sinus.,2,Absent (0); Present (1) ,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of frontal sinus. (Unordered). States: Absent (0); Present (1),,
100,Supraorbital sulcus,Frontal,CR,D,UM,PHY,,UBERON:0000209,The presence of a supraorbital sulcus.,2,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The presence of a supraorbital sulcus. (Unordered). States: Present (0); Absent (1),,
101,Supraorbital torus thickness,Frontal,CR,C,OM,PHY,,UBERON:0000209,The index to calculate the thickness of the torus at its midpoint. The thickness at midpoint is divided by orbital height. (Thin<0.15; Intermediate=0.15-0.29; Thick>0.29).,2,Thick (0); Intermediate (1); Reduced (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index to calculate the thickness of the torus at its midpoint. The thickness at midpoint is divided by orbital height. (Thin<0.15; Intermediate=0.15-0.29; Thick>0.29). (Ordered). States: Thick (0); Intermediate (1); Reduced (2),,
102,Supraorbital thickness gradient,Frontal,CR,D,UM,PHY,,UBERON:0000209,The thickness gradient of the orbital arch comparing medial and lateral thicknesses.,3,Medial to lateral (0); Lateral to medial (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The thickness gradient of the orbital arch comparing medial and lateral thicknesses. (Unordered). States: Medial to lateral (0); Lateral to medial (1),,
103,Supraorbital torus development,Frontal,CR,D,OM,PHY,,UBERON:0000209,The development of supraortibal torus.,2,Torus (0); Intermediate (1); Weak (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of supraorbital torus. (Ordered). States: Torus (0); Intermediate (1); Weak (2),,
104,Superior orbital fissure shape,Frontal,CR,D,UM,PHY,,UBERON:0000209,The shape of superior orbital fissure.,3,Foramen (0); Comma shaped (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of superior orbital fissure. (Unordered). States: Foramen (0); Comma shaped (1),,
105,Supraorbital corner shape,Frontal,CR,D,UM,PHY,,UBERON:0000209,The angularity of the superolateral corner of the orbit.,2,Angled (0); Rounded (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The angularity of the superolateral corner of the orbit. (Unordered). States: Angled (0); Rounded (1),,
106,Lacrimal fossae location,Orbit,CR,D,UM,PHY,,UBERON:0001697,The location of lacrimal fossa relative to the inferior orbital margin.,2,Within orbit (0); Within infraorbital region (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The location of the lacrimal fossa relative to the inferior orbital margin. (Unordered).  States: Within orbit (0); Within infraorbital region (1),,
107,Ethmolacrimal contact,Orbit,CR,D,UM,PHY,,UBERON:0001697,The length of ethmoid-lacrymal contact.,2,100 (0); Variable (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The length of ethmoid-lacrymal contact. (Unordered). States: 100 (0); Variable (1),,
108,Interorbital breadth,Orbit,CR,D,UM,PHY,,UBERON:0001697,"The distance bewteen the orbits, calculated as an index relative to the orbit's breadth.",2,Narrow (0); Broad (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The distance between the orbits, calculated as an index relative to the orbit's breadth. (Unordered). States: Narrow (0); Broad (1)",,
109,Orbital shape,Orbit,CR,D,UM,PHY,,UBERON:0001697,The shape of the orbits evaluated by height vs breadth measurements.,2,Oval (0); Circular (1); Rectangular (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of the orbits evaluated by height vs breadth measurements. (Unordered). States: Oval (0); Circular (1); Rectangular (2),,
110,Inferior orbital margin position relative to nasal margin,Orbit,CR,D,OM,PHY,,UBERON:0001697,The horizontal position of the inferior orbital margins against the superior nasal aperture margin viewed anteriorly.,3,Well above superior nasal margin (0); Close to superior nasal margin (1); Well below superior nasal margin (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The horizontal position of the inferior orbital margins against the superior nasal aperture margin viewed anteriorly. (Ordered). States: Well above superior nasal margin (0); Close to superior nasal margin (1); Well below superior nasal margin (2),,
111,Nasal keel,Nasal,CR,D,UM,PHY,,UBERON:0001681,"The presence of a distinct vertical ""pinching"" of the nasal bones along its midline.",3,Present (0); Absent (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,"The presence of a distinct vertical ""pinching"" of the nasal bones along its midline. (Unordered). States: Present (0); Absent (1)",,
112,Eversion of superior nasal aperture margin,Nasal,CR,D,UM,PHY,,UBERON:0001681,The degree of superior nasal aperture margin eversion.,2,None (0); Slight (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The degree of superior nasal aperture margin eversion. (Unordered). States: None (0); Slight (1),,
113,Profile of nasal saddle and nasal roof,Nasal,CR,D,UM,PHY,,UBERON:0001681,The contour of nasal saddle and nasal roof.,2,Flat (0); Small curve (1); Well defined curve (2); Deep angled (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The contour of nasal saddle and nasal roof. (Unordered). States: Flat (0); Small curve (1); Well defined curve (2); Deep angled (3),,
114,Inferior width of projecting nasal bone,Nasal,CR,D,UM,PHY,,UBERON:0001681,The inferior width of projecting nasal bone.,4,Narrow (0); Wide (1); Not projecting (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The inferior width of projecting nasal bone. (Unordered). States: Narrow (0); Wide (1); Not projecting (2),,
115,Anterior nasal spine relative to nasal aperture,Nasal,CR,D,OM,PHY,,UBERON:0001681,The development of anterior nasal spine relative to nasal aperture.,3,Absent (0); Anterior (1); Enlarged (2); Posterior (3),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of anterior nasal spine relative to nasal aperture. (Ordered). States: Absent (0); Anterior (1); Enlarged (2); Posterior (3),,
116,Nasal margin crest/spine patterns,Nasal,CR,D,UM,PHY,,UBERON:0001681,The development of nasal margin crest or spine.,4,Lateral crest (0); Lateral turbinal and spinal crests (1); Fused spinal and turbinal crests and lateral crest (2); Fused lateral and spinal crests and turbinial crest (3); Fused lateral and spinal crests and partial fusion of spinal and turbinal (4); No crests (5),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of nasal margin crest or spine. (Unordered). States: Lateral crest (0); Lateral turbinal and spinal crests (1); Fused spinal and turbinal crests and lateral crest (2); Fused lateral and spinal crests and turbinal crest (3); Fused lateral and spinal crests and partial fusion of spinal and turbinal (4); No crests (5),,
117,Nasal aperture margin sharpness,Maxilla,CR,D,UM,PHY,,UBERON:0002397,The sharpness of the nasal aperture margin.,6,Sharp (0); Dull (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The sharpness of the nasal aperture margin. (Unordered). States: Sharp (0); Dull (1),,
118,Subnasal projection,Maxilla,CR,C,OM,PHY,,UBERON:0002397,The inclination of the nasoalveolar clivus measured relative to the occlusal plane. (Weak<100; Moderate=100-150; Marked>15).,2,Low (0); Intermediate (1); High (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The inclination of the nasoalveolar clivus measured relative to the occlusal plane. (Weak<100; Moderate=100-150; Marked>15). (Ordered). States: Low (0); Intermediate (1); High (2),,
119,Subnasal length,Maxilla,CR,D,OM,PHY,,UBERON:0002397,The chord distance from nasospinale to prosthion.,3,Short (0); Intermediate (1); Long (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The chord distance from nasospinale to prosthion. (Ordered). States: Short (0); Intermediate (1); Long (2),,
120,Alveolar clivus shape,Maxilla,CR,D,OM,PHY,,UBERON:0002397,The shape of alveolar clivus.,3,Convex (0); Flat (1); Concave (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The shape of alveolar clivus. (Ordered). States: Convex (0); Flat (1); Concave (2),,
121,Protrusion of incisor alveoli beyond bicanine line in basal view,Maxilla,CR,D,UM,PHY,,UBERON:0002397,The position of the incisors relative to the canines in the coronal plane.,3,Beyond bicanine line (0); Within bicanine line (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The position of the incisors relative to the canines in the coronal plane. (Unordered). States: Beyond bicanine line (0); Within bicanine line (1),,
122,External palate breadth,Palate,CR,D,OM,PHY,,UBERON:0012071,The index of external palate breadth at M2 divdied by orbital height.,2,Broad (0); Intermediate (1); Narrow (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The index of external palate breadth at M2 divided by orbital height. (Ordered). States: Broad (0); Intermediate (1); Narrow (2),,
123,Incisive canal development,Palate,CR,D,OM,PHY,,UBERON:0012071,The development of incisive canal.,3,Slight canal (0); Intermediate (1); Extensive canal (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The development of incisive canal. (Ordered). States: Slight canal (0); Intermediate (1); Extensive canal (2),,
124,Palate thickness,Palate,CR,C,UM,PHY,,UBERON:0012071,The thickness of the palate posterior to the incisive fossa. (Thick>7 mm; Thin<7 mm),3,Thin (0); Thick (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The thickness of the palate posterior to the incisive fossa. (Thick>7 mm; Thin<7 mm). (Unordered). States: Thin (0); Thick (1),,
125,Incisive foramen position,Palate,CR,D,OM,PHY,,UBERON:0012071,The position of incisive foramen along tooth row.,2,Canine (0); P3 (1); P4 (2),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The position of incisive foramen along tooth row. (Ordered). States: Canine (0); P3 (1); P4 (2),,
126,Anterior palate depth,Palate,CR,D,UM,BOTH,,UBERON:0012071,The depth of anterior palate.,3,Shallow (0); Deep (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999",,The depth of the anterior palate. (Unordered). States: Shallow (0); Deep (1),"This character is equivalent to S&M 43. Two morphologies are recognized: shallow, in which the palate grades posteriorly from the base of the incisors as a flat surface or in which there is a slight depression anterior to the incisive foramen (state 0), and deep (i.e., shelved), in which the palate rises sharply vertically before turning posteriorly at the incisive foramen (state 2). H. habilis is variable (state 1; shallow in KNM-ER 1813 and OH 24; deep in OH 62, Stw 53, SK847). S&M 43 considered both of these taxa to be deep. A preponderance of humans have deep palates (DeVilliers, 1968). Pg. 66","The palates of KGA 10-525 and KGA 10-506 are shallow anteriorly (Suwa et al., 1997), whereas all other P. boisei crania possess an anteriorly deep palate. Thus, this species is considered variable. Pg. 442"
127,Palatine process orientation,Palate,CR,D,UM,PHY,,UBERON:0012071,The orientation of the posterosuperior slope of the palatal plane distal to the canine.,2,Nearly horizontal (0); Steep posterior angle (1),"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015",,The orientation of the posterosuperior slope of the palatal plane distal to the canine. (Unordered). States: Nearly horizontal (0); Steep posterior angle (1),,
